model	task	template	fewshot	seed	postproc	timestamp	filename	comet
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-source+target	0	1234	newline-cut-custom-truncate	2022-09-15T03_26_30	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-source+target.fewshot=0.seed=1234.timestamp=2022-09-15T03_26_30.newline-cut-custom-truncate.tsv	-1.9208
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-source+target	0	1234	newline-cut	2022-09-15T03_26_30	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-source+target.fewshot=0.seed=1234.timestamp=2022-09-15T03_26_30.newline-cut.tsv	-2.0065
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-source+target	0	1234		2022-09-15T03_26_30	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-source+target.fewshot=0.seed=1234.timestamp=2022-09-15T03_26_30.tsv	-2.0428
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-target	0	1234	newline-cut-custom-truncate	2022-09-15T03_20_58	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-target.fewshot=0.seed=1234.timestamp=2022-09-15T03_20_58.newline-cut-custom-truncate.tsv	-2.0488
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-target	0	1234	newline-cut	2022-09-15T03_20_58	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-target.fewshot=0.seed=1234.timestamp=2022-09-15T03_20_58.newline-cut.tsv	-2.0645
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-target	0	1234		2022-09-15T03_20_58	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-target.fewshot=0.seed=1234.timestamp=2022-09-15T03_20_58.tsv	-2.1186
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-source+target	0	1234	newline-cut-custom-truncate	2022-09-15T03_38_25	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-source+target.fewshot=0.seed=1234.timestamp=2022-09-15T03_38_25.newline-cut-custom-truncate.tsv	-1.2905
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-source+target	0	1234	newline-cut	2022-09-15T03_38_25	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-source+target.fewshot=0.seed=1234.timestamp=2022-09-15T03_38_25.newline-cut.tsv	-1.2886
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-source+target	0	1234		2022-09-15T03_38_25	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-source+target.fewshot=0.seed=1234.timestamp=2022-09-15T03_38_25.tsv	-1.3602
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-target	0	1234	newline-cut-custom-truncate	2022-09-15T03_37_05	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-target.fewshot=0.seed=1234.timestamp=2022-09-15T03_37_05.newline-cut-custom-truncate.tsv	-1.1564
