model	task	template	fewshot	seed	postproc	timestamp	filename	COMET
bloom	flores_101_mt_fewshot_en2bn	xglm-Bengali-English-source+target	1	1234	newline-cut-custom-truncate	2023-01-06T14_36_42	examples.model=bloom.task=flores_101_mt_fewshot_en2bn.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2023-01-06T14_36_42.newline-cut-custom-truncate.tsv	0.4143	
bloom	flores_101_mt_fewshot_en2bn	xglm-Bengali-English-source+target	1	1234	newline-cut	2023-01-06T14_36_42	examples.model=bloom.task=flores_101_mt_fewshot_en2bn.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2023-01-06T14_36_42.newline-cut.tsv	0.3173	
bloom	flores_101_mt_fewshot_en2bn	xglm-Bengali-English-source+target	1	1234		2023-01-06T14_36_42	examples.model=bloom.task=flores_101_mt_fewshot_en2bn.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2023-01-06T14_36_42.tsv	0.3132	
bloom	flores_101_mt_fewshot_fr2ar	xglm-Bengali-English-source+target	1	1234	newline-cut-custom-truncate	2022-12-26T17_01_06	examples.model=bloom.task=flores_101_mt_fewshot_fr2ar.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T17_01_06.newline-cut-custom-truncate.tsv	0.3218	
bloom	flores_101_mt_fewshot_fr2ar	xglm-Bengali-English-source+target	1	1234	newline-cut	2022-12-26T17_01_06	examples.model=bloom.task=flores_101_mt_fewshot_fr2ar.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T17_01_06.newline-cut.tsv	-0.0888	
bloom	flores_101_mt_fewshot_fr2ar	xglm-Bengali-English-source+target	1	1234		2022-12-26T17_01_06	examples.model=bloom.task=flores_101_mt_fewshot_fr2ar.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T17_01_06.tsv	-0.1025	
bloom	flores_101_mt_fewshot_fr2en	xglm-Bengali-English-source+target	1	1234	newline-cut-custom-truncate	2022-12-16T12_29_15	examples.model=bloom.task=flores_101_mt_fewshot_fr2en.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2022-12-16T12_29_15.newline-cut-custom-truncate.tsv	0.3960	
bloom	flores_101_mt_fewshot_fr2en	xglm-Bengali-English-source+target	1	1234	newline-cut	2022-12-16T12_29_15	examples.model=bloom.task=flores_101_mt_fewshot_fr2en.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2022-12-16T12_29_15.newline-cut.tsv	0.3439	
bloom	flores_101_mt_fewshot_fr2en	xglm-Bengali-English-source+target	1	1234		2022-12-16T12_29_15	examples.model=bloom.task=flores_101_mt_fewshot_fr2en.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2022-12-16T12_29_15.tsv	0.3147	
bloom	flores_101_mt_fewshot_hi2en	xglm-Bengali-English-source+target	1	1234	newline-cut-custom-truncate	2022-12-16T07_49_34	examples.model=bloom.task=flores_101_mt_fewshot_hi2en.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2022-12-16T07_49_34.newline-cut-custom-truncate.tsv	0.4603	
bloom	flores_101_mt_fewshot_hi2en	xglm-Bengali-English-source+target	1	1234	newline-cut	2022-12-16T07_49_34	examples.model=bloom.task=flores_101_mt_fewshot_hi2en.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2022-12-16T07_49_34.newline-cut.tsv	0.4587	
bloom	flores_101_mt_fewshot_hi2en	xglm-Bengali-English-source+target	1	1234		2022-12-16T07_49_34	examples.model=bloom.task=flores_101_mt_fewshot_hi2en.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2022-12-16T07_49_34.tsv	0.4492	
bloom	flores_101_mt_fewshot_wmt_hi2en	xglm-Bengali-English-source+target	1	1234	newline-cut-custom-truncate	2023-01-05T11_23_53	examples.model=bloom.task=flores_101_mt_fewshot_wmt_hi2en.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2023-01-05T11_23_53.newline-cut-custom-truncate.tsv	0.4274	
bloom	flores_101_mt_fewshot_wmt_hi2en	xglm-Bengali-English-source+target	1	1234	newline-cut	2023-01-05T11_23_53	examples.model=bloom.task=flores_101_mt_fewshot_wmt_hi2en.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2023-01-05T11_23_53.newline-cut.tsv	0.4274	
bloom	flores_101_mt_fewshot_wmt_hi2en	xglm-Bengali-English-source+target	1	1234		2023-01-05T11_23_53	examples.model=bloom.task=flores_101_mt_fewshot_wmt_hi2en.templates=xglm-Bengali-English-source+target.fewshot=1.seed=1234.timestamp=2023-01-05T11_23_53.tsv	0.4216	
bloom	flores_101_mt	xglm-Arabic-English-source+target	1	1234	newline-cut-custom-truncate	2023-01-07T00_32_25	examples.model=bloom.task=flores_101_mt.templates=xglm-Arabic-English-source+target.fewshot=1.seed=1234.timestamp=2023-01-07T00_32_25.newline-cut-custom-truncate.tsv	0.5801	
bloom	flores_101_mt	xglm-Arabic-English-source+target	1	1234	newline-cut	2023-01-07T00_32_25	examples.model=bloom.task=flores_101_mt.templates=xglm-Arabic-English-source+target.fewshot=1.seed=1234.timestamp=2023-01-07T00_32_25.newline-cut.tsv	0.5820	
bloom	flores_101_mt	xglm-Arabic-English-source+target	1	1234		2023-01-07T00_32_25	examples.model=bloom.task=flores_101_mt.templates=xglm-Arabic-English-source+target.fewshot=1.seed=1234.timestamp=2023-01-07T00_32_25.tsv	0.5820	
bloom	flores_101_mt	xglm-Arabic-French-source+target	1	1234	newline-cut-custom-truncate	2023-01-07T00_30_26	examples.model=bloom.task=flores_101_mt.templates=xglm-Arabic-French-source+target.fewshot=1.seed=1234.timestamp=2023-01-07T00_30_26.newline-cut-custom-truncate.tsv	0.3721	
