Hindi: अज़-जु़मार = English: Az-Zumar ### Hindi: एक बड़ा बदलाव हो रहा है क्लाउड कंप्यूटिंग छेत्र में जहां यूरोपीय अधिकारी ज्यादा जागरूक है कि अमेरिका में संग्रहीत डेटा उस अधिकार क्षेत्र के अधीन है और इसलिए संभावित संवेदनशील बन गए हैं । = English:	A big shift is occurring in cloud computing where European executives have become more aware that data stored in the US is subject to that jurisdiction and therefore potentially vulnerable.	### There is a big change in the cloud computing sector where European authorities are becoming more aware that data stored in the US is under the jurisdiction of the US and therefore potentially sensitive.
Hindi: माउंट रशमोर = English: Mount Rushmore ### Hindi: न्यूजर्सी स्थित आश्रम में तो अब भी भक्त पहले की ही तरह आश्रम आकर आसाराम के दर्शन कर रहे हैं। = English:	In the New Jersey ashram even now the devotees continue to come as before and pray to Asaram.	Mount Rushmore ###
Hindi: पंचतत्व = English: Mahābhūta ### Hindi: शेष राशि के लिए कई स्रोत है। = English:	There are many sources from which to collect the remaining amount.	There are many sources for the remainder.
Hindi: 1992 ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - महिला एकल = English: 1992 Australian Open - Women's Singles ### Hindi: इसके लिए वह सीमा पर कभी भी शांति नहीं होने देगा। = English:	That is why they will never allow peace to prevail on the border.	He will never allow peace on the border.
Hindi: महारानी विक्टोरिया = English: Victoria of the United Kingdom ### Hindi: शुक्रवार को शहर में हाइड्रो स्थल पर प्रदर्शन करने के लिए शेफ्फील्ड समूह का कार्यक्रम निर्धारित था। = English:	The Sheffield group were scheduled to perform at the Hydro venue in the city on Friday.	The Shefffield group was scheduled to perform at the Hydro site in the city on Friday.
Hindi: उपग्रही छल्ला = English: Planetary ring ### Hindi: नगर निगम के अधिकारी पिछले कई वर्षाें से गाव झूरीवाला में डपिंग ग्राउंड को शिफ्ट करने की बात कर रहे हैं, लेकिन बरवाला क्षेत्र के लोग तो पहले ही मक्खियों की गंभीर समस्या से दो-चार हो रहे है। = English:	The municipal corporation officers have been talking about shifting the dump to the village of Jhuriwala for the past several years now, but the inhabitants of the Barwala area are already facing a serious problem with flies.	###
Hindi: अमिताभ बच्चन = English: Amitabh Bachchan ### Hindi: व्यवसायियों को 457 वीजा धारकों की संख्या की गणना रखने की आवश्यकता हो सकता है, क्योंकि पहले व्यवसायी जो कि कम संख्या में कर्मचारियों को प्रायोजित करना चाहते थे, ने सैकड़ों लोगों को काम पर रख लिया। = English:	Businesses could also be required to account for the number of 457 visa holders after previously businesses who had intended to sponsor a small number of workers then employed hundreds.	### Businesses may need to keep track of the number of 457 visas, as earlier businesses that wanted to hire fewer workers hired hundreds.
Hindi: ब्रूनेई का ध्वज = English: Flag of Brunei ### Hindi: रॉकस्टार नामक संघ जिसने 4.5 बिलियन में नॉरेटेल पेटेन्ट्स खरीदे थे, ने टेक्सास में यू.एस. जिला न्यायालय में पेटेन्ट उल्लंघन के लिए सैमसंग इलेक्ट्रॉनिक्स कं. लिमिटेड, एच.टी.सी. कॉरपोरेशन, हुवाई तथा चार अन्य कम्पनियों पर मुकदमा किया है। = English:	Rockstar, the consortium that bought the Nortel patents for $4.5 billion, sued Samsung Electronics Co Ltd, HTC Corp, Huawei and four other companies for patent infringement in U.S. District Court in Texas.	The Rockstar consortium, which bought the Nortel patents for $4.5 billion, has sued Samsung Electronics Co. Ltd., HTC Corporation, Hawaiian Airlines and four other companies in the United States District Court in Texas for allegedly infringing the patents.
Hindi: रुफिजी नदी = English: Rufiji River ### Hindi: रीजन फ़ाउंडेशन में स्वतंत्र विक्रेता भी चालक द्वारा प्रति मील भुगतान के पक्ष में हैं। = English:	The free marketeers at the Reason Foundation are also fond of having drivers pay per mile.	### The Freedom Foundation also supports the payment of per mile by the driver.
Hindi: अतिताप = English: Hyperthermia ### Hindi: वहीं विधानसभा क्षेत्र के लिए कांग्रेस के प्रत्याशी सरहुल राम भगत ने नामांकन भरा। = English:	Congress candidate Sarhul Ram Bhagat filed his nomination for the Assembly constituency.	###
