Hindi: अज़-जु़मार = English: Az-Zumar ### Hindi: एक बड़ा बदलाव हो रहा है क्लाउड कंप्यूटिंग छेत्र में जहां यूरोपीय अधिकारी ज्यादा जागरूक है कि अमेरिका में संग्रहीत डेटा उस अधिकार क्षेत्र के अधीन है और इसलिए संभावित संवेदनशील बन गए हैं । = English:	A big shift is occurring in cloud computing where European executives have become more aware that data stored in the US is subject to that jurisdiction and therefore potentially vulnerable.	A big change is taking place in the cloud computing sector where European officials are more aware that data stored in the United States is subject to that jurisdiction and therefore potentially sensitive.
Hindi: माउंट रशमोर = English: Mount Rushmore ### Hindi: न्यूजर्सी स्थित आश्रम में तो अब भी भक्त पहले की ही तरह आश्रम आकर आसाराम के दर्शन कर रहे हैं। = English:	In the New Jersey ashram even now the devotees continue to come as before and pray to Asaram.	The ashram in New Jersey is still visited by devotees who come to the ashram to see Baba.
Hindi: पंचतत्व = English: Mahābhūta ### Hindi: शेष राशि के लिए कई स्रोत है। = English:	There are many sources from which to collect the remaining amount.	Many sources for the remaining amount.
Hindi: 1992 ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - महिला एकल = English: 1992 Australian Open - Women's Singles ### Hindi: इसके लिए वह सीमा पर कभी भी शांति नहीं होने देगा। = English:	That is why they will never allow peace to prevail on the border.	He will never allow peace on the border for this.
Hindi: महारानी विक्टोरिया = English: Victoria of the United Kingdom ### Hindi: शुक्रवार को शहर में हाइड्रो स्थल पर प्रदर्शन करने के लिए शेफ्फील्ड समूह का कार्यक्रम निर्धारित था। = English:	The Sheffield group were scheduled to perform at the Hydro venue in the city on Friday.	The Sheffield Group had a scheduled demonstration in the city on Friday at the Hydropathic site.
Hindi: उपग्रही छल्ला = English: Planetary ring ### Hindi: नगर निगम के अधिकारी पिछले कई वर्षाें से गाव झूरीवाला में डपिंग ग्राउंड को शिफ्ट करने की बात कर रहे हैं, लेकिन बरवाला क्षेत्र के लोग तो पहले ही मक्खियों की गंभीर समस्या से दो-चार हो रहे है। = English:	The municipal corporation officers have been talking about shifting the dump to the village of Jhuriwala for the past several years now, but the inhabitants of the Barwala area are already facing a serious problem with flies.	The municipal officer has been talking about shifting the dumping ground in Juriwala village for several years, but the people of Barwala area are already facing serious problems with flies.
Hindi: अमिताभ बच्चन = English: Amitabh Bachchan ### Hindi: व्यवसायियों को 457 वीजा धारकों की संख्या की गणना रखने की आवश्यकता हो सकता है, क्योंकि पहले व्यवसायी जो कि कम संख्या में कर्मचारियों को प्रायोजित करना चाहते थे, ने सैकड़ों लोगों को काम पर रख लिया। = English:	Businesses could also be required to account for the number of 457 visa holders after previously businesses who had intended to sponsor a small number of workers then employed hundreds.	Businesses may need to keep track of the number of 457 visa holders, as some business owners who previously sponsored only a few employees have taken on hundreds.
Hindi: ब्रूनेई का ध्वज = English: Flag of Brunei ### Hindi: रॉकस्टार नामक संघ जिसने 4.5 बिलियन में नॉरेटेल पेटेन्ट्स खरीदे थे, ने टेक्सास में यू.एस. जिला न्यायालय में पेटेन्ट उल्लंघन के लिए सैमसंग इलेक्ट्रॉनिक्स कं. लिमिटेड, एच.टी.सी. कॉरपोरेशन, हुवाई तथा चार अन्य कम्पनियों पर मुकदमा किया है। = English:	Rockstar, the consortium that bought the Nortel patents for $4.5 billion, sued Samsung Electronics Co Ltd, HTC Corp, Huawei and four other companies for patent infringement in U.S. District Court in Texas.	Rockstar, which bought $4.5 billion worth of Nortel patents, has filed a lawsuit in the U.S. District Court of Texas against Samsung Electronics Co. Ltd., HTC Corporation, Huawei and four other companies for patent infringement.
Hindi: रुफिजी नदी = English: Rufiji River ### Hindi: रीजन फ़ाउंडेशन में स्वतंत्र विक्रेता भी चालक द्वारा प्रति मील भुगतान के पक्ष में हैं। = English:	The free marketeers at the Reason Foundation are also fond of having drivers pay per mile.	Independent vendors at the Revenue Foundation also prefer driver pay per mile.
Hindi: अतिताप = English: Hyperthermia ### Hindi: वहीं विधानसभा क्षेत्र के लिए कांग्रेस के प्रत्याशी सरहुल राम भगत ने नामांकन भरा। = English:	Congress candidate Sarhul Ram Bhagat filed his nomination for the Assembly constituency.	There, the assembly constituency of Congress candidate Sarhul Ram Bhagat filled the nomination.
Hindi: भीमसेन जोशी = English: Bhimsen Joshi ### Hindi: जानकारी पर पहुंचे परिजनों और ग्रामीणों ने उन्हें गंभीर हालत में मेरठ के अस्पताल में भर्ती कराया। = English:	Upon hearing the news, family members and villagers rushed him to the hospital in Meerut in a serious condition.	Information reached the relatives and villagers, who took him to the hospital in Meerut in a serious condition.
Hindi: एडवर्ड विक्टर एप्पलटन = English: Edward Victor Appleton ### Hindi: प्रत्यक्ष है कि निर्वाचित कार्यालय एक पूर्वानुमेय मार्ग नहीं है, क्योंकि विरोधी राजनीतिक दल तथा यादृच्छिक घटनाएं जैसे कि न्यूटाउन हत्याकाण्ड, हमारे सार्वजनिक चर्चा को आकार प्रदान करेगी। = English:	Obviously, elective office isn't a predictable course, as the opposing political party and random events, such as the Newtown massacre, will shape our public conversation.	Directly, that elected office is not a foregone conclusion, because the opposition and random events such as the Newtown massacre, will shape our public discussion.
Hindi: अरमान कोहली = English: Armaan Kohli ### Hindi: शुक्रवार को मोरसी ने तहरीर स्कवायर में प्रतीकात्मक शपथ ग्रहण की, जो उस क्रांति का उद्गम स्थान है, जिसने पिछले वर्ष मुबारक के तानाशाह शासन का अंत किया, तथा पिछले वर्ष हटाए गए नेता से सैन्य परिषद द्वारा उनके पद से छीनी गई राष्ट्रपति शक्तियों को वापस लेने की शपथ ली। = English:	Morsi took a symbolic oath on Friday in Tahrir Square, birthplace of the uprising that ended Mubarak's authoritarian rule last year, and vowed to reclaim presidential powers stripped from his office by the military council that took over from the ousted leader.	Friday, Morsi took symbolic oath of office at Tahrir Square, the birthplace of the revolution that ended the year-old dictatorship of Mubarak, and took back the presidential powers he was stripped of by the military council last year.
Hindi: द व्हाइट स्वान इन = English: The White Swan Inn, Monmouth ### Hindi: लेकिन प्रथागत रूप से संसद के सक्षम शपथ ग्रहण करने के बजाय न्यायालय के समक्ष आधिकारिक शपथ लेने के लिए सहमत होने के द्वारा वे सेना की इच्छा के समक्ष झुके, जो इस बात का संकेत है कि सत्ता के लिए संघर्ष जारी रहेगा। = English:	But by agreeing to take the official oath before the court, rather than before parliament as is customary, he is bowing to the military's will in an indication that the contest for power will continue.	But they agreed to take the customary oath before the competent authority of the court instead of the official oath before the army, which is a sign that the struggle for power will continue.
Hindi: रूना लैला = English: Runa Laila ### Hindi: इस दौरान, 35 वर्षीय श्रीलंकाई शरण साधक, इस सप्ताह क्रिसमस आईसलैण्ड पर एक शरणार्थी नाव में आने के पश्चात संदिग्ध हृदयाघात से मर गया। = English:	Meanwhile, a 35-year-old Sri Lankan asylum seeker died of a suspected heart attack after arriving on an asylum boat at Christmas Island this week.	During this time, 35-year-old Sri Lankan refugee, died of suspected heart attack this week after arriving on Christmas Island in a refugee boat.
Hindi: अग्निशमन यंत्र = English: Fire extinguisher ### Hindi: नए कानून के अनुसार माता-पिता को ऐसे बच्चों के लिए लिंग घोषित करने की आवश्यकता नहीं है, यह कानून उन्हें बच्चे के जन्म प्रमाण-पत्र पर लिंग ‘अनिर्धारित" अथवा "अनिर्दिष्ट" घोषित करने की अनुमति देता है। = English:	The new law doesn't require parents to declare any gender for such children, allowing parents to declare gender "undetermined" or "unspecified" on their birth certificates.	Parents are not required to declare the gender of such children under the new law, which allows them to declare the gender as "undetermined" or "undisclosed" on the birth certificate of the child.
Hindi: ग्वार-बती भाषा = English: Gawar-Bati language ### Hindi: प्रो. वेल्लरटिगरा ने बताया: "हमने कुत्तों को कुत्तों की फिल्मों के साथ पेश किया - यथार्थवादी संस्करण में या उलझन में डालने वाले अन्य मुद्दों से निपटने के लिए छाया-चित्र में, और हम पूंछ की हरकत को देख सकते थे और पूंछ को अधिक बाएं या दाएं प्रस्तुत कर सकते थे।" = English:	Prof Vallortigara said: "We presented dogs with movies of dogs - either a naturalistic version or a silhouette to get rid of any other confounding issues, and we could doctor the movement of the tail and present the tail more to the left or right."	Prof. Velaltigara said, "We presented dogs with dog movies - realistic versions or dealing with other issues, and we could see the tail movement and present the tail more to the left or right."
Hindi: विद्युत आवेश = English: Electric charge ### Hindi: ओ'मैली जैसे चिकित्सा और नर्सिंग के विद्यार्थी जो वेल के अभियान में शामिल होने के लिए युनाइटेड स्टेट्स तथा यूरोप से आते हैं, उनके लिए यह प्रायोगिक अवसर होता है, जिसे वे अपने देश में कभी नहीं प्राप्त कर सकते। = English:	For medical and nursing students such as O'Malley, who come from the United States and Europe to join Bwelle on his missions, it's a hands-on opportunity they'd never get at home.	O'malley, like medical and nursing students who come to the well from the united states and europe, have this experimental opportunity, which they would never get in their own country.
Hindi: ४६९ = English: 469 ### Hindi: अनुसंधानकर्ताओं का कहना है कि ये निष्कर्ष मालिकों, पशु चिकित्सकों और प्रशिक्षकों को पशुओं की भावनाओं के बारे बेहतर जानकारी प्रदान कर सकते हैं। = English:	The researchers say the findings could give owners, vets and trainers a better insight into their animal's emotions.	Researchers say that these findings can provide better information to owners, veterinarians and trainers about the feelings of animals.
Hindi: गौरीशंकर हीराचंद ओझा = English: Gaurishankar Hirachand Ojha ### Hindi: आज अंबानी परिवार को कौन नहीं जानता? = English:	Who has not heard of the Ambani family today?	Who does not know the Ambani family today?
Hindi: टैंक = English: Tank ### Hindi: ऑर्थोपैडिक तथा मोतियाबिंद सर्जरी समेत 2600 अतिरिक्त ऑपरेशन, पिछले एकत्रित मामलों का समाधान करने में सहायता करेंगे। = English:	An additional 2600 operations including orthopedic and cataract surgery will help clear a backlog.	Orthopaedic and cataract surgery, including 2600 additional operations, will help resolve the accumulated cases.
Hindi: पालघाट = English: Palakkad Gap ### Hindi: प्रवक्ता ने कहा कि "हम विद्युत उपकरणों के उपयोग की अनुमति दिए जाने के मामले में CASA द्वारा समीक्षा का स्वागत करेंगे, क्योंकि हमें वास्तव में ऐसा लगता है कि यह ग्राहकों को बेहतर अनुभव प्रदान करेगा, क्योंकि अब हमारे पास (वायरलेस इन-फ्लाइट मनोरंजन) हमारे विमानों में है। = English:	"We would welcome a review by CASA into allowing the use of electronic devices because we really do think it will improve the customer experience now that we have (wireless in-flight entertainment) on our planes," a spokesman said.	Spokesperson said that "We welcome the review of the CASA on the use of electrical equipment, as we really think that it will provide a better experience for customers, as we now have (wireless in-flight entertainment) in our aircraft."
Hindi: त्रपु = English: Tin ### Hindi: एयरबस और बोइंग ने दावा किया की प्रति सीट 20 प्रतिशत कार्यदक्शता हुई है उनके नये जुड़वा एंजिन डिज़ाइन मे उस खंड के लीडर की, 365-सीट बोइंग 777-300 एर  की तुलना मे। = English:	Both Airbus and Boeing claim 20 per cent better efficiency per seat in their latest twin-engined long-haul designs than the market leader in that segment, the 365-seat Boeing 777-300ER.	Airbus and Boeing claim that the new twin engine design has increased the efficiency by 20% over the leader in that segment, the 365-seat Boeing 777-300ER.
Hindi: कटूपहास = English: Satire ### Hindi: हम पिछले कुछ महीनों से परीख्रण कर रहे है और इसे हेलोवीन पर साझा करने के लिए एकदम सही लग रहा  है  क्योंकि यह अद्भुत चमक प्रभाव देता है = English:	We have been testing it out over the past few months and it seemed perfect to share it over Halloween because it gives that wonderful glow effect.	We have been testing this for the past few months and it looks perfect for Halloween because it gives a wonderful glitter effect.
Hindi: विदेश मंत्री = English: Minister of External Affairs ### Hindi: सूत्रों के मुताबिक इस नीति के तहत ही पंजाब, हरियाणा, महाराष्ट्र और उत्ताराखंड को केरोसिन कोटा काफी कम किया जा चुका है। = English:	According to sources, under this policy the kerosene quota of Punjab, Haryana, Maharashtra and Uttarakhand has been reduced significantly.	According to sources, this policy has been implemented in Punjab, Haryana, Maharashtra and Uttarakhand, and the kerosene quota has been reduced significantly.
Hindi: सेल्फ सर्विस पासवर्ड रीसेट = English: Self-service password reset ### Hindi: हमें लगता है कि प्रतीक्षा करने के बजाय, पुरुष या महिला लिंग निर्दिष्ट करना बेहतर प्रक्रिया है। = English:	We think a better process is assigning male or female sex, then waiting.	We think it is better to specify the gender of the person instead of waiting for the gender to be guessed.
Hindi: टर्किश एयरलाइंस = English: Turkish Airlines ### Hindi: कई जर्मन अधिकारियों का तर्क है कि नवीनतम रिपोर्ट बस क्या उन्हे पहले से ही पता था की पुष्टि कर रहे हैं: कि शक्तिशाली राज्य उनके सबसे बेशकीमती रहस्यों और डेटा को चोरी  करना चाहते हैं  और इस लिए इन पर हर कीमत पर पहरा होना चाहिए। = English:	Many German executives argue that the latest reports are simply confirmation of what they already knew: that powerful states want to steal their most prized secrets and these data must therefore be guarded at all costs.	Many German officials argue that the latest report just confirms what they already knew: that powerful states want to steal their most precious secrets and data and therefore these should be guarded at all costs.
