model	task	template	fewshot	seed	postproc	timestamp	filename	comet
bloom	flores_101_mt	translate-this-French-English-source+target	0	1234	newline-cut-custom-truncate	2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-French-English-source+target.fewshot=0.seed=1234.timestamp=2022-09-15T17_34_13.newline-cut-custom-truncate.tsv	-1.4914	
bloom	flores_101_mt	translate-this-French-English-source+target	0	1234	newline-cut	2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-French-English-source+target.fewshot=0.seed=1234.timestamp=2022-09-15T17_34_13.newline-cut.tsv	-1.4934	
bloom	flores_101_mt	translate-this-French-English-source+target	0	1234		2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-French-English-source+target.fewshot=0.seed=1234.timestamp=2022-09-15T17_34_13.tsv	-1.5131	
bloom	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut-custom-truncate	2023-01-05T12_19_11	examples.model=bloom.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_11.newline-cut-custom-truncate.tsv	0.1817	
bloom	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut	2023-01-05T12_19_11	examples.model=bloom.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_11.newline-cut.tsv	-0.7232	
bloom	flores_101_mt	xglm-English-French-source+target	0	1234		2023-01-05T12_19_11	examples.model=bloom.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_11.tsv	-1.4689	
bloom	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut-custom-truncate	2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.newline-cut-custom-truncate.tsv	-0.6081	
bloom	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut	2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.newline-cut.tsv	-0.7573	
bloom	flores_101_mt	xglm-English-Hindi-source+target	0	1234		2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.tsv	-0.9716	
bloom	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut-custom-truncate	2023-01-05T12_18_55	examples.model=bloom.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_18_55.newline-cut-custom-truncate.tsv	0.6968	
bloom	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut	2023-01-05T12_18_55	examples.model=bloom.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_18_55.newline-cut.tsv	0.0801	
bloom	flores_101_mt	xglm-French-English-source+target	0	1234		2023-01-05T12_18_55	examples.model=bloom.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_18_55.tsv	-1.1425	
bloom	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut-custom-truncate	2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.newline-cut-custom-truncate.tsv	0.5088	
bloom	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut	2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.newline-cut.tsv	0.4171	
bloom	flores_101_mt	xglm-Hindi-English-source+target	0	1234		2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.tsv	-0.3387	
mt0-xxl	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut-custom-truncate	2023-02-08T23_53_50	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T23_53_50.newline-cut-custom-truncate.tsv	0.7932	
mt0-xxl	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut	2023-02-08T23_53_50	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T23_53_50.newline-cut.tsv	0.7972	
mt0-xxl	flores_101_mt	xglm-English-French-source+target	0	1234		2023-02-08T23_53_50	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T23_53_50.tsv	0.7972	
mt0-xxl	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut-custom-truncate	2023-02-08T22_56_33	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T22_56_33.newline-cut-custom-truncate.tsv	1.0252	
mt0-xxl	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut	2023-02-08T22_56_33	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T22_56_33.newline-cut.tsv	1.0252	
mt0-xxl	flores_101_mt	xglm-English-Hindi-source+target	0	1234		2023-02-08T22_56_33	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T22_56_33.tsv	1.0252	
mt0-xxl	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut-custom-truncate	2023-02-06T17_31_06	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_31_06.newline-cut-custom-truncate.tsv	-1.5730	
mt0-xxl	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut	2023-02-06T17_31_06	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_31_06.newline-cut.tsv	-1.5730	
mt0-xxl	flores_101_mt	xglm-French-English-source+target	0	1234		2023-02-06T17_31_06	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_31_06.tsv	-1.5730	
mt0-xxl	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut-custom-truncate	2023-02-08T23_25_49	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T23_25_49.newline-cut-custom-truncate.tsv	0.7967	
mt0-xxl	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut	2023-02-08T23_25_49	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T23_25_49.newline-cut.tsv	0.7967	
mt0-xxl	flores_101_mt	xglm-Hindi-English-source+target	0	1234		2023-02-08T23_25_49	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T23_25_49.tsv	0.7967	
opt	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut-custom-truncate	2023-01-15T20_46_29	examples.model=opt.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T20_46_29.newline-cut-custom-truncate.tsv	0.0266	
