model	task	template	fewshot	seed	postproc	timestamp	filename	COMET
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-source+target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	-0.8884
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-source+target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	-1.0438
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-source+target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	-1.2320
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	-1.3687
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	-1.3867
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	-1.5981
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-source+target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	-0.0273
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-source+target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	-0.2361
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-source+target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	-0.6687
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	-0.2830
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	-0.4331
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	-0.4943
