model	task	template	fewshot	seed	postproc	timestamp	filename	spBLEU
bloom	flores_101_mt	flores-xglm-English-French	0	1234	newline-cut-custom-truncate	2023-01-05T12_19_11	examples.model=bloom.task=flores_101_mt.templates=flores-xglm-English-French.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_11.newline-cut-custom-truncate.tsv	26.91	
bloom	flores_101_mt	flores-xglm-English-French	0	1234	newline-cut	2023-01-05T12_19_11	examples.model=bloom.task=flores_101_mt.templates=flores-xglm-English-French.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_11.newline-cut.tsv	4.56	
bloom	flores_101_mt	flores-xglm-English-French	0	1234		2023-01-05T12_19_11	examples.model=bloom.task=flores_101_mt.templates=flores-xglm-English-French.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_11.tsv	2.77	
bloom	flores_101_mt	flores-xglm-English-Hindi	0	1234	newline-cut-custom-truncate	2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=flores-xglm-English-Hindi.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.newline-cut-custom-truncate.tsv	7.74	
bloom	flores_101_mt	flores-xglm-English-Hindi	0	1234	newline-cut	2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=flores-xglm-English-Hindi.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.newline-cut.tsv	1.65	
bloom	flores_101_mt	flores-xglm-English-Hindi	0	1234		2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=flores-xglm-English-Hindi.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.tsv	1.29	
bloom	flores_101_mt	flores-xglm-French-English	0	1234	newline-cut-custom-truncate	2023-01-05T12_18_55	examples.model=bloom.task=flores_101_mt.templates=flores-xglm-French-English.fewshot=0.seed=1234.timestamp=2023-01-05T12_18_55.newline-cut-custom-truncate.tsv	40.28	
bloom	flores_101_mt	flores-xglm-French-English	0	1234	newline-cut	2023-01-05T12_18_55	examples.model=bloom.task=flores_101_mt.templates=flores-xglm-French-English.fewshot=0.seed=1234.timestamp=2023-01-05T12_18_55.newline-cut.tsv	8.84	
bloom	flores_101_mt	flores-xglm-French-English	0	1234		2023-01-05T12_18_55	examples.model=bloom.task=flores_101_mt.templates=flores-xglm-French-English.fewshot=0.seed=1234.timestamp=2023-01-05T12_18_55.tsv	2.73	
bloom	flores_101_mt	flores-xglm-Hindi-English	0	1234	newline-cut-custom-truncate	2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=flores-xglm-Hindi-English.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.newline-cut-custom-truncate.tsv	30.19	
bloom	flores_101_mt	flores-xglm-Hindi-English	0	1234	newline-cut	2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=flores-xglm-Hindi-English.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.newline-cut.tsv	16.33	
bloom	flores_101_mt	flores-xglm-Hindi-English	0	1234		2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=flores-xglm-Hindi-English.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.tsv	3.40	
bloom	flores_101_mt	translate-this-fra-eng	0.batchsize=8	1234	newline-cut-custom-truncate	2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-fra-eng.fewshot=0.batchsize=8.seed=1234.timestamp=2022-09-15T17_34_13.newline-cut-custom-truncate.tsv	0.10	
bloom	flores_101_mt	translate-this-fra-eng	0.batchsize=8	1234	newline-cut	2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-fra-eng.fewshot=0.batchsize=8.seed=1234.timestamp=2022-09-15T17_34_13.newline-cut.tsv	0.10	
bloom	flores_101_mt	translate-this-fra-eng	0.batchsize=8	1234		2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-fra-eng.fewshot=0.batchsize=8.seed=1234.timestamp=2022-09-15T17_34_13.tsv	0.11	
